"iso_a3","country_name","centroid_lon","centroid_lat","study_count","gdp_year","gdp_current_usd"
"BEN","Benin",2.32661465004568,9.63561224093509,2,2024,21482643706.4249
"BTN","Bhutan",90.4021595998385,27.4121377973,2,2023,3012896789.24928
"BIH","Bosnia and Herz.",17.7748915741405,44.1714743326079,2,2024,29613572022.8993
"BDI","Burundi",29.8752284293783,-3.35921514928519,2,2024,3082433067.32634
"COD","Dem. Rep. Congo",23.6377472422809,-2.86548803879884,2,2024,70962185790.7094
"DOM","Dominican Rep.",-70.5052413454715,18.8951155518329,2,2024,124282245638.568
"ERI","Eritrea",38.8572739658584,15.3611244583121,2,2011,2065001626.01626
"JAM","Jamaica",-77.3143958349437,18.1574508770119,2,2024,22014397089.7689
"LVA","Latvia",24.9204470200195,56.8595216467316,2,2024,43684254432.3609
"LBN","Lebanon",35.8776957799568,33.9215988442913,2,2023,20078620356.9931
"NIC","Nicaragua",-85.0319410654719,12.8449927189211,2,2024,19693982967.5926
"QAT","Qatar",51.1846516738005,25.3048623619667,2,2024,219162637362.637
"SEN","Senegal",-14.4694479437439,14.3648110913115,2,2024,32808056600.9436
"YEM","Yemen",47.5677872476925,15.9172806811685,2,2018,21606160663.0318
"ZMB","Zambia",27.8085818823144,-13.4555254959824,2,2024,25303185342.2511
"ALB","Albania",20.0518459027132,41.1348736944403,1,2024,27046429296.6673
"BRB","Barbados",-59.5597850951858,13.1814498004285,1,2024,7498050000
"BWA","Botswana",23.8086129025041,-22.1652447872488,1,2024,19402063512.9066
"TCD","Chad",18.6349974957478,15.2753594087916,1,2024,19518819751.283
"CIV","Côte d'Ivoire",-5.56910294234613,7.62587837014599,1,2024,87113179149.284
"DMA","Dominica",-61.3577005414183,15.4394350108441,1,2024,688881481.481481
"GTM","Guatemala",-90.3672121144358,15.6901195659811,1,2024,113199581158.203
"GNB","Guinea-Bissau",-14.9499240579018,12.0477507940677,1,2024,2218393804.54798
"IMN","Isle of Man",-4.53903854050941,54.2240959079977,1,2022,7431257410.92713
"LAO","Lao PDR",103.774934404086,18.4874181999202,1,2024,16502933121.3379
"MWI","Malawi",34.282847529032,-13.2044253756452,1,2024,11316411329.4619
"MDA","Moldova",28.4656191736062,47.1871728331027,1,2024,18200340853.6517
"TLS","Timor-Leste",125.845107820645,-8.8293216548526,1,2024,1865608515.41321
"TGO","Togo",0.963859665348356,8.52077978485004,1,2024,10651180146.531
"TTO","Trinidad and Tobago",-61.2659018391326,10.4571725762484,1,2024,25633544529.4849
"VUT","Vanuatu",167.675345939338,-16.2169690416025,1,2024,1117972034.22642
"ALA","Aland",19.9535538111446,60.2148676911849,0,NA,NA
"ASM","American Samoa",-170.718018842331,-14.3044663343105,0,2022,8.71e+08
"AND","Andorra",1.56052469127473,42.5422864057591,0,2024,4039842405.48117
"AGO","Angola",17.5317833738886,-12.2706139240382,0,2024,100998916781.079
"AIA","Anguilla",-63.0649996801631,18.2239725989557,0,NA,NA
"ATG","Antigua and Barb.",-61.7946721591689,17.2771040484643,0,2024,2207622874.07407
"ARM","Armenia",44.938311792247,40.2873277774884,0,2024,25955275380.0321
"ABW","Aruba",-69.9826639657359,12.5208780608318,0,2024,4265650673.00236
"BHS","Bahamas",-76.5901602927938,24.2800188100739,0,2024,15832800000
"BHR","Bahrain",50.5419933611208,26.0419637708084,0,2024,47109734308.5106
"BLZ","Belize",-88.7110676149564,17.1982988494049,0,2024,3203631800
"IOT","Br. Indian Ocean Ter.",72.4454107176736,-7.33059326968775,0,NA,NA
"VGB","British Virgin Is.",-64.4716170380985,18.5258126284725,0,NA,NA
"KHM","Cambodia",104.905337576565,12.7194949077631,0,2024,46352647037.2406
"CPV","Cape Verde",-23.9565439870292,15.9533054786086,0,2024,2725414150.72735
"CYM","Cayman Is.",-80.9134942978663,19.4298043826201,0,2023,7241244269.45972
"CAF","Central African Rep.",20.4618329844355,6.57229915888352,0,2024,2751494281.06887
"COM","Comoros",43.6816567481971,-11.8779085341834,0,2024,1440991455.45188
"COK","Cook Is.",-159.787243023607,-21.2192740081892,0,NA,NA
"CUW","Curaçao",-68.9711179452218,12.1955184194906,0,2024,3561178196.20713
"CYP","Cyprus",33.0058102965142,34.917087328158,0,2024,37634533331.8902
"PRK","Dem. Rep. Korea",127.159122779144,40.1400742688939,0,NA,NA
"DJI","Djibouti",42.5600788811058,11.7483067109973,0,2024,4152145939.98458
