"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=Plantae&variant=all&show=class"
"Access Time","Thu 2025-06-26 21:48:33 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Plantae"
"","variant","all"
"","show","class"
"Elapsed Time","2.14"
"Records Found","32837"
"Records Returned","32837"
"Records:"
"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon"
"488657","488657","txn","","species","Scabiosa transylvanica","","488657","species","Scabiosa transylvanica","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488670","488670","txn","","species","Scabiosa cretica","","488670","species","Scabiosa cretica","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488666","488666","txn","","species","Scabiosa stellata","","488666","species","Scabiosa stellata","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488660","488660","txn","","species","Scabiosa syriaca","","488660","species","Scabiosa syriaca","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488667","488667","txn","","species","Scabiosa atropurpurea","","488667","species","Scabiosa atropurpurea","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"416132","416132","txn","","genus","Tschichatschevia","","416132","genus","Tschichatschevia","54311","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Tschichatschevia","Tschichatschevia lituus"
"416133","416133","txn","","species","Tschichatschevia lituus","","416133","species","Tschichatschevia lituus","416132","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Tschichatschevia",""
"405894","405894","txn","","genus","Bogutschanophycus","","405894","genus","Bogutschanophycus","54311","71641","extinct","1","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Bogutschanophycus","Bogutschanophycus mariae"
"405895","405895","txn","","species","Bogutschanophycus mariae","","405895","species","Bogutschanophycus mariae","405894","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Bogutschanophycus",""
"406867","406867","txn","","genus","Convallarites","","406867","genus","Convallarites","54311","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Convallarites","Convallarites erecta"
