id,plant_parts_detected,parts_count,parts_normalized
16055,NA,0,NA
16056,lesion; cell wall; style,3,lesion; cell wall; style
16057,root; stem,2,root; stem
16058,root; mycorrhizal,2,root; mycorrhizal
16059,root; leaf; stem,3,root; leaf; stem
16060,root,1,root
16061,NA,0,NA
16062,NA,0,NA
16063,seed,1,seed
16064,root,1,root
16065,leaf,1,leaf
16066,NA,0,NA
16067,NA,0,NA
16068,leaf,1,leaf
16069,NA,0,NA
16070,shoot,1,shoot
16071,root; seed,2,root; seed
16072,root,1,root
16073,NA,0,NA
16074,leaf,1,leaf
16075,NA,0,NA
16076,seed,1,seed
16077,shoot; canker; fruit,3,shoot; canker; fruit
16078,scale,1,scale
16079,NA,0,NA
16080,root; leaf,2,root; leaf
16081,NA,0,NA
16083,NA,0,NA
16084,style,1,style
16085,NA,0,NA
16086,leaf; callus; tumor,3,leaf; callus; tumor
16087,leaf; lesion,2,leaf; lesion
16088,fiber; cell wall,2,fiber; cell wall
16089,ray,1,ray
16090,seed; fruit,2,seed; fruit
16091,root,1,root
16092,sheath; stem,2,sheath; stem
16093,scale,1,scale
16094,leaf; stem,2,leaf; stem
16095,fruit,1,fruit
16096,leaf; shoot,2,leaf; shoot
16097,leaf,1,leaf
16098,fruit; lesion,2,fruit; lesion
16099,NA,0,NA
16100,fruit; leaf,2,fruit; leaf
16101,fruit,1,fruit
16103,seed,1,seed
16104,branch; stem; root,3,branch; stem; root
16105,seed,1,seed
16106,berry,1,berry
16107,leaf; stem; root,3,leaf; stem; root
16108,seed,1,seed
16109,NA,0,NA
16111,root; leaf; fruit; seed; bark,5,root; leaf; fruit; seed; bark
16112,leaf; seed,2,leaf; seed
16113,pod; leaf,2,pod; leaf
16114,NA,0,NA
16115,root; seed,2,root; seed
16116,leaf; cell wall,2,leaf; cell wall
16117,stem,1,stem
16118,leaf; cell wall,2,leaf; cell wall
16119,NA,0,NA
16120,NA,0,NA
16121,seed,1,seed
16122,NA,0,NA
16123,NA,0,NA
16124,NA,0,NA
16125,leaf,1,leaf
16126,NA,0,NA
16127,leaf,1,leaf
16128,root,1,root
16129,shoot,1,shoot
16130,root; stem; fruit,3,root; stem; fruit
16131,blade,1,blade
16132,leaf; stem; parenchyma,3,leaf; stem; parenchyma
16133,NA,0,NA
16134,leaf; stem; root; shoot,4,leaf; stem; root; shoot
16135,root; stomatal; panicle; stoma,4,root; stomatal; panicle; stoma
16136,NA,0,NA
16137,leaf,1,leaf
16138,NA,0,NA
16139,NA,0,NA
16140,leaf,1,leaf
16141,fruit; calyx; pericarp,3,fruit; calyx; pericarp
16142,leaf,1,leaf
16143,root,1,root
16144,NA,0,NA
16145,scale; root,2,scale; root
16146,NA,0,NA
16147,leaf,1,leaf
16148,bark; scale,2,bark; scale
16149,leaf; lesion; root,3,leaf; lesion; root
16150,leaf; bulb; root,3,leaf; bulb; root
16151,leaf,1,leaf
16152,NA,0,NA
16153,leaf,1,leaf
16154,seed,1,seed
16155,callus,1,callus
16156,shoot,1,shoot
16157,leaf; stem; root; proliferation,4,leaf; stem; root; proliferation
16158,fruit; root; stem; leaf,4,fruit; root; stem; leaf
16159,leaf,1,leaf
16160,root; stem; leaf,3,root; stem; leaf
16162,root; shoot,2,root; shoot
16163,root; stem; leaf; fruit,4,root; stem; leaf; fruit
16164,seed; bulb,2,seed; bulb
16165,NA,0,NA
16166,fruit; leaf; flower; branch; mesocarp; seed,6,fruit; leaf; flower; branch; mesocarp; seed
16167,NA,0,NA
16168,root,1,root
16169,leaf; stem,2,leaf; stem
16170,fruit; branch; shoot; leaflet; stem; root,6,fruit; branch; shoot; leaflet; stem; root
16171,leaf; root; seed,3,leaf; root; seed
16172,root; shoot,2,root; shoot
16173,root; mycorrhizal,2,root; mycorrhizal
16174,NA,0,NA
16175,NA,0,NA
16176,corm; shoot; proliferation,3,corm; shoot; proliferation
16177,spike; proliferation,2,spike; proliferation
16178,cell wall,1,cell wall
16179,root,1,root
16180,root; leaf; root nodule,3,root; leaf; root nodule
16181,wood,1,wood
16182,leaf,1,leaf
16183,fruit; husk,2,fruit; husk
16184,midrib; petiole; cell wall,3,midrib; petiole; cell wall
16185,leaf; scale,2,leaf; scale
16186,NA,0,NA
16187,twig; leaf,2,twig; leaf
16188,mycorrhizal; root; leaf; anther,4,mycorrhizal; root; leaf; anther
16189,NA,0,NA
16190,NA,0,NA
16191,sheath; root,2,sheath; root
16192,seed; wood,2,seed; wood
