iso_a3,country_name,study_count,centroid_lat,centroid_lon,gdp_year,gdp_current_usd,gdp_log10
PRK,Dem. Rep. Korea,0,40.1400742688939,127.159122779144,NA,NA,NA
DJI,Djibouti,0,11.7483067109973,42.5600788811058,2024,4152145939.98458,9.618272609728677
SLV,El Salvador,0,13.7398637309967,-88.8709570558223,2024,35364960000,10.548573171204296
GNQ,Eq. Guinea,0,1.7054056406736,10.3417277917495,2024,12765777677.0622,10.106047276685839
FRO,Faeroe Is.,0,62.0522625282412,-6.88046143028574,2024,4052937169.76536,9.607769871189088
FLK,Falkland Is.,0,-51.7464413279952,-59.3498833387688,NA,NA,NA
FJI,Fiji,0,-17.4275459952068,178.512028316141,2024,5968125909.27126,9.775837976851495
ATF,Fr. S. Antarctic Lands,0,-49.2683171907122,69.1998846260328,NA,NA,NA
GAB,Gabon,0,-0.586446585293701,11.7887417164631,2024,20895684425.6752,10.320056600769234
GMB,Gambia,0,13.4509534894153,-15.3963233144453,2024,2404888749.21907,9.381094990598502
GRD,Grenada,0,12.1172424371992,-61.6822117335207,2024,1371918518.51852,9.137328318361535
GUM,Guam,0,13.4416293676101,144.767851873217,2022,6910000000,9.839478047374199
GGY,Guernsey,0,49.468103758266,-2.57240443102482,NA,NA,NA
HTI,Haiti,0,18.9345751327125,-72.6867625349952,2024,25224154990.7946,10.401816626287266
HMD,Heard I. and McDonald Is.,0,-53.0872651198047,73.5203521795845,NA,NA,NA
KIR,Kiribati,0,0.892901083483931,-167.919703075942,2024,307862564.489711,8.48835688271944
KWT,Kuwait,0,29.3332785762653,47.5877796922595,2024,160227273053.334,11.204736441388997
KGZ,Kyrgyzstan,0,41.4743103610779,74.5090861452259,2024,17478259659.2625,10.242498186993645
LSO,Lesotho,0,-29.5790637034594,28.2289621119569,2024,2271759454.51107,9.356362344156466
LBR,Liberia,0,6.45195767187024,-9.3198326185766,2024,4779300900,9.679364374127365
LIE,Liechtenstein,0,47.1366265853552,9.53575260315686,2023,8239379403.22096,9.915894501514268
MAC,Macao,0,22.2231175774803,113.509319741433,2024,49467258923.3244,10.694317845932076
MKD,Macedonia,0,41.5951915568665,21.6805957755044,2024,16951682245.4202,10.229212803049483
MDV,Maldives,0,3.72846116652362,73.4570805449481,2024,7061608267.25451,9.848903622022258
MHL,Marshall Is.,0,7.00279059022283,170.342582564537,2024,290108489.990234,8.462560438564669
MRT,Mauritania,0,20.2206937819397,-10.3699167227552,2024,10908045686.8808,10.03774694825737
FSM,Micronesia,0,7.53089159197172,153.322721733101,2024,471425099.488675,8.673412701394165
MCO,Monaco,0,43.7527482443154,7.40627449424239,2024,11125783372.4794,10.046330599641056
MSR,Montserrat,0,16.7394123859652,-62.1851850423942,NA,NA,NA
MNP,N. Mariana Is.,0,15.8171137442989,145.618094745429,2022,1096000000,9.03981055414835
NRU,Nauru,0,-0.519126365152906,166.932568247741,2024,162588620.632234,8.211090146611271
NIU,Niue,0,-19.0494561591082,-169.869942739257,NA,NA,NA
