"canonicalName","rank","confidence","matchType","kingdom","phylum","class","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","id","predicted_label"
"Trichoderma koningiopsis","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma koningiopsis","5","95","320","1290","8419","7703803","5483308","308","Presence"
"Nigrospora oryzae","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriaceae","Nigrospora","Nigrospora oryzae","5","95","320","1297","8435","8324240","2569650","308","Presence"
"Lasiodiplodia","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Lasiodiplodia",NA,"5","95","183","1032","4791","2611221",NA,"308","Presence"
"Trichoderma eijii","SPECIES",84,"FUZZY","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma eijii","5","95","320","1290","8419","7703803","7504216","308","Presence"
"Ascomycota","PHYLUM",94,"HIGHERRANK","Fungi","Ascomycota",NA,NA,NA,NA,NA,"5","95",NA,NA,NA,NA,NA,"278","Presence"
"Basidiomycota","PHYLUM",94,"HIGHERRANK","Fungi","Basidiomycota",NA,NA,NA,NA,NA,"5","34",NA,NA,NA,NA,NA,"278","Presence"
"Chytridiomycota","PHYLUM",96,"EXACT","Fungi","Chytridiomycota",NA,NA,NA,NA,NA,"5","94",NA,NA,NA,NA,NA,"278","Presence"
"Helotiales","ORDER",94,"HIGHERRANK","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"5","95","179","1052",NA,NA,NA,"278","Presence"
"Pleosporales","ORDER",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"5","95","183","1047",NA,NA,NA,"278","Presence"
"Capnodiales","ORDER",94,"EXACT","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,"5","95","183","1262",NA,NA,NA,"278","Presence"
"Tremellales","ORDER",94,"HIGHERRANK","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA,"5","34","149","1123",NA,NA,NA,"278","Presence"
"Rhizosphaera","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Rhizosphaera",NA,"5","95","183","7446671","8317","2617685",NA,"278","Presence"
"Mycopappus","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Mycopappus",NA,"5","95","179","1052","8385","2583192",NA,"278","Presence"
"Melampsora","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Melampsoraceae","Melampsora",NA,"5","34","270","1126","3253","2513275",NA,"278","Presence"
"Phaeosphaeria","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA,"5","95","183","1047","8312","2579070",NA,"278","Presence"
"Mrakia","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Mrakia",NA,"5","34","149","1125","9479658","2518126",NA,"278","Presence"
"Leptosphaeria","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria",NA,"5","95","183","1047","8307","7981442",NA,"278","Presence"
"Catharanthus roseus","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Catharanthus","Catharanthus roseus","6","7707728","220","412","6701","3169829","3169830","537","Presence"
"Colletotrichum","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum",NA,"5","95","320","9705517","2461","2563219",NA,"537","Presence"
"Alternaria","GENUS",94,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"5","95","183","1047","8315","7388975",NA,"537","Presence"
"Chaetomium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",NA,"5","95","320","1061","8433","2560820",NA,"537","Presence"
"Assay","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Assay",NA,"6","7707728","196","1369","3073","11123265",NA,"537","Presence"
"Cephalotaxus","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Pinopsida","Pinales","Cephalotaxaceae","Cephalotaxus",NA,"6","7707728","194","640","8143","2685260",NA,"424","Presence"
"Cephalotaxus","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Pinopsida","Pinales","Cephalotaxaceae","Cephalotaxus",NA,"6","7707728","194","640","8143","2685260",NA,"424","Presence"
"Cephalotaxus hainanensis","SPECIES",99,"EXACT","Plantae","Tracheophyta","Pinopsida","Pinales","Cephalotaxaceae","Cephalotaxus","Cephalotaxus hainanensis","6","7707728","194","640","8143","2685260","2685278","424","Presence"
"Alternaria tenuissima","SPECIES",92,"FUZZY","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria tenuissima","5","95","183","1047","8315","7388975","2616214","424","Presence"
"Alternaria panax","SPECIES",99,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria panax","5","95","183","1047","8315","7388975","2616200","880","Presence"
"Panax","GENUS",92,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Panax",NA,"6","7707728","220","1351","8800","3037591",NA,"880","Presence"
"Botrytis cinerea","SPECIES",98,"EXACT","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis cinerea","5","95","179","1052","8385","11189196","2583139","880","Presence"
"Rhizoctonia solani","SPECIES",99,"EXACT","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia solani","5","34","186","1300","8458","8612683","2555201","880","Presence"
"Colletotrichum pisi","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum pisi","5","95","320","9705517","2461","2563219","2568957","880","Presence"
"Fusarium oxysporum","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium oxysporum","5","95","320","1290","4152","2554026","5251961","880","Presence"
"Fusarium solani","SPECIES",97,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium solani","5","95","320","1290","4152","2554026","9581851","880","Presence"
"Arabidopsis","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabidopsis",NA,"6","7707728","220","7225535","3112","3052435",NA,"880","Presence"
