"canonicalName","rank","confidence","matchType","kingdom","phylum","class","order","family","genus","species","id","predicted_label"
"Pestalotiopsis mangiferae","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Pestalotiopsis","Pestalotiopsis mangiferae","598","Presence"
"Coniophora puteana","SPECIES",99,"EXACT","Fungi","Basidiomycota","Agaricomycetes","Boletales","Coniophoraceae","Coniophora","Coniophora puteana","598","Presence"
"Ascomycota","PHYLUM",92,"HIGHERRANK","Fungi","Ascomycota",NA,NA,NA,NA,NA,"854","Presence"
"Ginkgo biloba","SPECIES",99,"EXACT","Plantae","Tracheophyta","Ginkgoopsida","Ginkgoales","Ginkgoaceae","Ginkgo","Ginkgo biloba","854","Presence"
"Raphanus sativus","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus","Raphanus sativus","854","Presence"
"Brassica napus","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Brassica napus","854","Presence"
"Atractylodes lancea","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Atractylodes","Atractylodes lancea","39","Presence"
"Gilmaniella","GENUS",94,"HIGHERRANK","Fungi","Ascomycota",NA,NA,NA,"Gilmaniella",NA,"39","Presence"
"Tinospora cordifolia","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Menispermaceae","Tinospora","Tinospora cordifolia","159","Presence"
"Azadirachta indica","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Azadirachta","Azadirachta indica","159","Presence"
"Alternaria","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"159","Presence"
"Curvularia","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA,"159","Presence"
"Cladosporium","GENUS",92,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"159","Presence"
"Penicillium asperulum","SPECIES",93,"FUZZY","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium asperulum","159","Presence"
"Fusarium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"159","Presence"
"Colletotrichum","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum",NA,"159","Presence"
"Rhizopus","GENUS",94,"HIGHERRANK","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Rhizopodaceae","Rhizopus",NA,"159","Presence"
"Helminthosporium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Helminthosporium",NA,"159","Presence"
"Pleurothecium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","Pleurothecium",NA,"159","Presence"
"Aureobasidium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",NA,"159","Presence"
"Cercospora","GENUS",94,"EXACT","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora",NA,"159","Presence"
"Curvularia","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA,"159","Presence"
"Ascomycota","PHYLUM",92,"HIGHERRANK","Fungi","Ascomycota",NA,NA,NA,NA,NA,"159","Presence"
"Pinus sylvestris","SPECIES",98,"EXACT","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus sylvestris","752","Presence"
"Acephala applanata","SPECIES",99,"EXACT","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae","Acephala","Acephala applanata","752","Presence"
"Phialocephala fortinii","SPECIES",99,"EXACT","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala","Phialocephala fortinii","752","Presence"
"Humicolopsis cephalosporioides","SPECIES",99,"EXACT","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,"Humicolopsis","Humicolopsis cephalosporioides","752","Presence"
"Coniochaeta mutabilis","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta mutabilis","752","Presence"
"Ozonium","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Ozonium",NA,"209","Presence"
"Taxus chinensis","SPECIES",97,"EXACT","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae","Taxus","Taxus chinensis","209","Presence"
"Mycelium","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota",NA,NA,NA,"Mycelium",NA,"209","Presence"
"Fusarium redolens","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium redolens","988","Presence"
"Dioscorea zingiberensis","SPECIES",99,"EXACT","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea","Dioscorea zingiberensis","988","Presence"
"Assay","GENUS",94,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Assay",NA,"988","Presence"
"Rigidoporus","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meripilaceae","Rigidoporus",NA,"994","Presence"
