id,match_type,user_supplied_name,resolved_name,status,acceptedScientificName,kingdom,phylum,family,genus,predicted_label,canonicalName,canonicalName_lower
18,species,arrhenatherum elatius,Arrhenatherum elatius,ACCEPTED,Arrhenatherum elatius,Plantae,Tracheophyta,Poaceae,Arrhenatherum,Presence,NA,NA
18,genus,NA,Arrhenatherum,ACCEPTED,Arrhenatherum,Plantae,Tracheophyta,Poaceae,NA,Presence,Arrhenatherum,arrhenatherum
19,genus,NA,Microbiota,ACCEPTED,Microbiota,Plantae,Tracheophyta,Cupressaceae,NA,Presence,Microbiota,microbiota
20,species,phragmites australis,Phragmites australis,ACCEPTED,Phragmites australis,Plantae,Tracheophyta,Poaceae,Phragmites,Presence,NA,NA
20,genus,NA,Phragmites,ACCEPTED,Phragmites,Plantae,Tracheophyta,Poaceae,NA,Presence,Phragmites,phragmites
20,genus,NA,Stagonospora,ACCEPTED,Stagonospora,Fungi,Ascomycota,Phaeosphaeriaceae,NA,Presence,Stagonospora,stagonospora
21,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,species,aspergillus niger,Aspergillus niger,ACCEPTED,Aspergillus niger,Fungi,Ascomycota,Aspergillaceae,Aspergillus,Presence,NA,NA
22,species,colletotrichum gloeosporioides,Colletotrichum gloeosporioides,ACCEPTED,Colletotrichum gloeosporioides,Fungi,Ascomycota,Glomerellaceae,Colletotrichum,Presence,NA,NA
22,genus,NA,Phoma,ACCEPTED,Phoma,Fungi,Ascomycota,Didymellaceae,NA,Presence,Phoma,phoma
22,genus,NA,Chalaropsis,ACCEPTED,Chalaropsis,Fungi,Ascomycota,Ceratocystidaceae,NA,Presence,Chalaropsis,chalaropsis
22,genus,NA,Pestalotiopsis,ACCEPTED,Pestalotiopsis,Fungi,Ascomycota,Pestalotiopsidaceae,NA,Presence,Pestalotiopsis,pestalotiopsis
22,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Nectriaceae,NA,Presence,Fusarium,fusarium
22,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Dermateaceae,NA,Presence,Fusarium,fusarium
22,genus,NA,Drechslera,ACCEPTED,Drechslera,Fungi,Basidiomycota,Auriculariaceae,NA,Presence,Drechslera,drechslera
22,genus,NA,Drechslera,ACCEPTED,Drechslera,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Drechslera,drechslera
22,genus,NA,Mucor,ACCEPTED,Mucor,Fungi,Mucoromycota,Mucoraceae,NA,Presence,Mucor,mucor
22,genus,NA,Cladosporium,ACCEPTED,Cladosporium,Fungi,Ascomycota,Xylariaceae,NA,Presence,Cladosporium,cladosporium
22,genus,NA,Cladosporium,ACCEPTED,Cladosporium,Fungi,Ascomycota,Cladosporiaceae,NA,Presence,Cladosporium,cladosporium
22,genus,NA,Stachybotrys,ACCEPTED,Stachybotrys,Fungi,Ascomycota,Stachybotryaceae,NA,Presence,Stachybotrys,stachybotrys
22,genus,NA,Alternaria,ACCEPTED,Alternaria,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Alternaria,alternaria
22,genus,NA,Curvularia,ACCEPTED,Curvularia,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Curvularia,curvularia
